Entity,Currency,Currency Code,Numeric Code,Minor Unit,Withdrawal Date,Flag
GHANA,Cedi,GHC,288,,2008-01,🇬🇭
GHANA,Ghana Cedi,GHP,939,,2007-06,🇬🇭
GHANA,Ghana Cedi,GHS,936,2,,🇬🇭
GIBRALTAR,Gibraltar Pound,GIP,292,2,,🇬🇧
GREECE,Euro,EUR,978,2,,🇪🇺
GREECE,Drachma,GRD,300,,2002-03,🇬🇷
GREENLAND,Danish Krone,DKK,208,2,,🇩🇰
GRENADA,East Caribbean Dollar,XCD,951,2,,🇬🇩
GUADELOUPE,Euro,EUR,978,2,,🇪🇺
GUADELOUPE,French Franc,FRF,250,,2002-03,🇫🇷
GUAM,US Dollar,USD,840,2,,🇺🇸
GUATEMALA,Quetzal,GTQ,320,2,,🇬🇹
GUERNSEY,Pound Sterling,GBP,826,2,,🇬🇧
GUINEA,Syli,GNE,324,,1989-12,🇬🇳
GUINEA,Guinean Franc,GNF,324,0,,🇬🇳
GUINEA,Syli,GNS,324,,1986-02,🇬🇳
GUINEA-BISSAU,Guinea Escudo,GWE,624,,1978 to 1981,🇬🇼
GUINEA-BISSAU,Guinea-Bissau Peso,GWP,624,,1997-05,🇬🇼
GUINEA-BISSAU,CFA Franc BCEAO,XOF,952,0,,🇬🇼
GUYANA,Guyana Dollar,GYD,328,2,,🇬🇾
HAITI,Gourde,HTG,332,2,,🇭🇹
HAITI,US Dollar,USD,840,2,,🇺🇸
HEARD ISLAND AND McDONALD ISLANDS,Australian Dollar,AUD,36,2,,🇦🇺
HONDURAS,Lempira,HNL,340,2,,🇭🇳
HONG KONG,Hong Kong Dollar,HKD,344,2,,🇭🇰
HUNGARY,Forint,HUF,348,2,,🇭🇺
ICELAND,Old Krona,ISJ,352,,1989 to 1990,🇮🇸
ICELAND,Iceland Krona,ISK,352,0,,🇮🇸
INDIA,Indian Rupee,INR,356,2,,🇮🇳
INDONESIA,Rupiah,IDR,360,2,,🇮🇩
INTERNATIONAL MONETARY FUND,SDR (Special Drawing Right),XDR,960,-,,💰
IRAN,Iranian Rial,IRR,364,2,,🇮🇷
IRAQ,Iraqi Dinar,IQD,368,3,,🇮🇶
IRELAND,Euro,EUR,978,2,,🇪🇺
IRELAND,Irish Pound,IEP,372,,2002-03,🇮🇪
ISLE OF MAN,Pound Sterling,GBP,826,2,,🇬🇧
